2016-04-05 10:27:55.098 [Thread-2] INFO  c.importio.builder.bootstrap.Updater - uninstallAndDeletePlugins - Checking if javax.servlet_3.1.0.v201410161800.jar required
2016-04-05 10:27:55.099 [Thread-2] INFO  c.importio.builder.bootstrap.Updater - uninstallAndDeletePlugins - Checking if joda-time_2.7.0.jar required
2016-04-05 10:27:55.099 [Thread-2] INFO  c.importio.builder.bootstrap.Updater - uninstallAndDeletePlugins - Checking if jrobotx_0.2.0.jar required
2016-04-05 10:27:55.099 [Thread-2] INFO  c.importio.builder.bootstrap.Updater - uninstallAndDeletePlugins - Checking if net.javacrumbs.json2xml_4.1.0.jar required
2016-04-05 10:27:55.099 [Thread-2] INFO  c.importio.builder.bootstrap.Updater - uninstallAndDeletePlugins - Checking if net.sf.jtidy_1.0.0.jar required
2016-04-05 10:27:55.099 [Thread-2] INFO  c.importio.builder.bootstrap.Updater - uninstallAndDeletePlugins - Checking if nu.validator.htmlparser_1.0.0.20150326135404.jar required
2016-04-05 10:27:55.100 [Thread-2] INFO  c.importio.builder.bootstrap.Updater - uninstallAndDeletePlugins - Checking if org.apache.commons.lang_2.4.0 required
2016-04-05 10:27:55.100 [Thread-2] INFO  c.importio.builder.bootstrap.Updater - uninstallAndDeletePlugins - Checking if org.apache.httpcomponents.httpcore_4.3.2.jar required
2016-04-05 10:27:55.100 [Thread-2] INFO  c.importio.builder.bootstrap.Updater - uninstallAndDeletePlugins - Checking if org.apache.servicemix.bundles.saxon_9.5.1.1_1.jar required
2016-04-05 10:27:55.100 [Thread-2] INFO  c.importio.builder.bootstrap.Updater - uninstallAndDeletePlugins - Checking if org.eclipse.core.contenttype_3.5.0.v20150421-2214.jar required
2016-04-05 10:27:55.100 [Thread-2] INFO  c.importio.builder.bootstrap.Updater - uninstallAndDeletePlugins - Checking if org.eclipse.core.jobs_3.7.0.v20150330-2103.jar required
2016-04-05 10:27:55.100 [Thread-2] INFO  c.importio.builder.bootstrap.Updater - uninstallAndDeletePlugins - Checking if org.eclipse.core.runtime_3.11.0.v20150405-1723.jar required
